,Unnamed: 0,n1,n2,T1,P1,T2,P2,T3,P3,T34,P34,T4,P4,gc1,Qmfs,type
1027,1027,9346.857143,5768.857143,288,94400,724.1380881,1743905.399,1427.111245,1656710.129,1073.231958,413346.8919,793.4973184,99600,63.80115825,1.502806431,2
240,240,8667.142857,5089.142857,288,94400,654.7582409,1160604.673,1265.46976,1102574.439,962.4023892,301717.8781,772.213676,99600,45.31653016,0.892351744,0
1320,1320,9608.285714,6030.285714,288,94400,743.7810724,1966068.934,1469.812519,1867765.488,1105.153553,461537.726,796.3767735,99600,70.8480631,1.741088375,0
802,802,9137.714286,5559.714286,288,94400,705.7807496,1563568.746,1387.529259,1485390.309,1049.241255,384652.0183,788.422027,99600,58.1510034,1.315834425,5
912,912,9242.285714,5664.285714,288,94400,708.9682221,1601748.936,1363.578182,1521661.489,1023.873923,383351.7665,769.4223171,99600,61.11224315,1.322425581,1
1045,1045,9346.857143,5768.857143,288,94400,727.7457042,1774865.821,1469.244087,1686122.53,1107.435453,420348.3777,817.6539432,99600,63.72347505,1.596339546,2
80,80,8510.285714,4932.285714,288,94400,647.3959124,1099458.059,1245.496094,1044485.156,947.3681537,287173.4022,772.1652588,99600,42.02830748,0.806728147,3
823,823,9163.857143,5585.857143,288,94400,708.905918,1591698.057,1397.420561,1512113.154,1051.803305,381270.9164,792.4555901,99600,58.84117396,1.347631658,2
134,134,8562.571429,4984.571429,288,94400,647.5698517,1106903.797,1248.055354,1051558.607,950.0637578,290091.0006,772.3664056,99600,42.68691379,0.823053314,3
1251,1251,9529.857143,5951.857143,288,94400,741.9445606,1933600.158,1511.418461,1836920.15,1140.986897,457293.6968,827.7921457,99600,68.66687129,1.801987271,4
378,378,8771.714286,5193.714286,288,94400,660.1277861,1202162.369,1254.117837,1142054.251,950.4023681,308787.5066,758.9446355,99600,48.42139215,0.926072924,1
580,580,8954.714286,5376.714286,288,94400,686.6116211,1398432.699,1329.117319,1328511.064,1002.791814,345040.2795,773.5411523,99600,53.2179205,1.120075255,5
537,537,8902.428571,5324.428571,288,94400,685.2688445,1382623.973,1376.617744,1313492.774,1042.024344,341673.117,806.3737961,99600,51.66318677,1.180225187,4
607,607,8980.857143,5402.857143,288,94400,689.9254675,1425197.023,1341.563709,1353937.172,1010.776003,348082.1123,778.2406572,99600,53.91130348,1.153923409,2
177,177,8588.714286,5010.714286,288,94400,649.3838805,1120049.685,1308.344404,1064047.2,1001.146091,295867.5249,806.2783401,99600,42.97849361,0.919919165,4
97,97,8536.428571,4958.428571,288,94400,644.4363676,1086830.479,1260.812735,1032488.955,964.3503851,290054.1663,782.3937375,99600,42.4696064,0.842200343,2
1245,1245,9529.857143,5951.857143,288,94400,740.5526182,1920874.395,1491.715731,1824830.676,1124.516382,453521.9142,816.0022144,99600,68.69280419,1.753050527,4
789,789,9137.714286,5559.714286,288,94400,705.4312963,1560813.089,1382.628477,1482772.434,1040.688502,375446.3779,786.7193239,99600,58.15969961,1.306002863,4
979,979,9294.571429,5716.571429,288,94400,721.9684892,1717347.854,1442.464234,1631480.461,1086.331592,407853.8842,806.7050375,99600,62.3410338,1.508941416,2
1000,1000,9320.714286,5742.714286,288,94400,721.2971166,1715706.509,1415.752518,1629921.184,1066.126576,410792.133,789.0479445,99600,63.11046413,1.464958093,5
1345,1345,9608.285714,6030.285714,288,94400,748.9962572,2014794.076,1529.642532,1914054.372,1154.209392,473390.0878,831.4999343,99600,70.75755046,1.891664654,2
136,136,8562.571429,4984.571429,288,94400,644.599542,1090982.065,1253.785911,1036432.962,958.937225,291734.7904,777.0523864,99600,42.79508718,0.837672991,5
186,186,8614.857143,5036.857143,288,94400,646.4197286,1106841.497,1246.847118,1051499.422,951.4388492,293543.1302,770.9158699,99600,43.93234849,0.846673659,1
1155,1155,9451.428571,5873.428571,288,94400,734.2809051,1849889.556,1474.172654,1757395.078,1110.982569,437857.0813,812.2377477,99600,66.58473199,1.667143102,4
396,396,8797.857143,5219.857143,288,94400,667.3353663,1251370.169,1279.624877,1188801.66,968.1105305,316699.2619,766.0515258,99600,49.00716089,0.97162476,1
861,861,9190,5612,288,94400,712.7756539,1626313.412,1430.624424,1544997.741,1079.214174,390349.3096,809.6968211,99600,59.51264724,1.430532718,4
100,100,8536.428571,4958.428571,288,94400,643.5710117,1082222.966,1251.210209,1028111.818,957.075474,289676.3287,777.3247342,99600,42.5011136,0.829295167,5
102,102,8536.428571,4958.428571,288,94400,639.4312219,1058926.409,1233.063668,1005980.089,944.5285471,286560.5936,771.596193,99600,42.65057919,0.809844214,1
1124,1124,9425.285714,5847.285714,288,94400,733.3883911,1837362.194,1430.805603,1745494.084,1071.021616,424765.0811,786.0748887,99600,65.85628445,1.541631907,3
616,616,8980.857143,5402.857143,288,94400,689.6969547,1423510.598,1340.93358,1352335.068,1012.890149,352171.6418,777.3232985,99600,53.91760982,1.15318042,5
352,352,8745.571429,5167.571429,288,94400,664.5090507,1228202.804,1290.59035,1166792.664,980.863229,316469.3433,774.8745291,99600,47.46770339,0.963919211,5
733,733,9085.428571,5507.428571,288,94400,701.3916388,1522996.929,1378.360993,1446847.083,1037.829637,367168.8749,788.7871049,99600,56.72030162,1.271635397,2
586,586,8954.714286,5376.714286,288,94400,687.0118412,1401349.087,1334.846987,1331281.632,1008.680918,347820.2149,776.4568634,99600,53.20670172,1.130384112,5
846,846,9190,5612,288,94400,706.6464201,1577141.667,1364.779299,1498284.584,1025.413509,378245.4525,773.262783,99600,59.65925128,1.297855819,1
330,330,8745.571429,5167.571429,288,94400,663.7686609,1223600.051,1280.329045,1162420.048,970.3715475,312067.48,770.8229723,99600,47.4927141,0.947860954,0
410,410,8797.857143,5219.857143,288,94400,674.5586781,1298122.872,1286.50155,1233216.728,966.7853178,317454.6168,764.3578089,99600,48.76993631,0.968486332,3
1368,1368,9634.428571,6056.428571,288,94400,737.7265375,1913350.765,1431.292524,1817683.227,1074.153317,443916.5471,783.1336149,99600,71.64423693,1.668866075,1
720,720,9085.428571,5507.428571,288,94400,699.2446363,1506437.608,1353.314672,1431115.728,1017.758696,363756.1348,774.8203143,99600,56.77560381,1.223806284,0
1276,1276,9556,5978,288,94400,741.208791,1931938.457,1478.067713,1835341.534,1116.513681,463191.0416,805.3050154,99600,69.42022921,1.733598129,5
1408,1408,9660.571429,6082.571429,288,94400,750.8156499,2043013.065,1524.240273,1940862.412,1158.556363,500214.026,824.6857517,99600,72.19800788,1.910766842,5
830,830,9163.857143,5585.857143,288,94400,712.2781069,1618130.161,1371.176617,1537223.652,1024.445002,375896.6793,773.7031803,99600,58.75028768,1.281933453,3
798,798,9137.714286,5559.714286,288,94400,697.1246824,1494820.192,1327.892845,1420079.182,997.404274,361727.0863,760.5337095,99600,58.34884854,1.206921984,1
1429,1429,9686.714286,6108.714286,288,94400,753.5407055,2074735.883,1531.353991,1970999.088,1155.027543,486776.0674,826.2933881,99600,72.88676943,1.94308026,2
1002,1002,9320.714286,5742.714286,288,94400,715.7819095,1668526.741,1380.951103,1585100.404,1036.739055,397334.7669,772.4088829,99600,63.21708674,1.39563742,1
346,346,8745.571429,5167.571429,288,94400,664.1617665,1226042.177,1285.814621,1164740.068,975.9831297,314442.7387,772.9775845,99600,47.47944393,0.956445442,5
1309,1309,9582.142857,6004.142857,288,94400,745.6564254,1978176.171,1508.263101,1879267.363,1136.848325,464855.1444,820.9213978,99600,70.07865763,1.822280305,2
1398,1398,9660.571429,6082.571429,288,94400,739.6391284,1936186.981,1436.968113,1839377.631,1078.661054,449102.8586,785.0098749,99600,72.34132971,1.696392539,1
1072,1072,9373,5795,288,94400,727.0168303,1772833.69,1445.470157,1684192.006,1093.517895,431308.2345,801.3708664,99600,64.49065536,1.558309106,5
740,740,9085.428571,5507.428571,288,94400,704.7279184,1548066.021,1352.438614,1470662.72,1010.810761,362168.9108,770.3656783,99600,56.62441402,1.209278541,3
1281,1281,9556,5978,288,94400,743.9887255,1957503.801,1517.203361,1859628.611,1145.466394,462593.1366,829.0337824,99600,69.36970101,1.83166244,4
696,696,9059.285714,5481.285714,288,94400,694.3532846,1466322.99,1335.307538,1393006.841,1004.332372,356084.8798,768.8514813,99600,56.12877554,1.180959968,1
1090,1090,9399.142857,5821.142857,288,94400,727.9411097,1785188.424,1433.615247,1695929.002,1079.706381,425920.3486,792.5447583,99600,65.22003684,1.544663073,5
889,889,9216.142857,5638.142857,288,94400,714.9086297,1647265.888,1423.62538,1564902.594,1072.171834,393001.8991,802.7501481,99600,60.22541405,1.427733505,2
261,261,8667.142857,5089.142857,288,94400,657.7483073,1178233.527,1308.747916,1119321.851,997.0951026,305221.0528,796.1768806,99600,45.21131887,0.957079315,4
480,480,8876.285714,5298.285714,288,94400,678.0505053,1330530.802,1306.867932,1264004.262,986.2966654,330516.3583,770.3680815,99600,51.08893632,1.046917671,0
198,198,8614.857143,5036.857143,288,94400,642.188426,1082494.384,1228.535835,1028369.665,938.7684077,290342.2739,765.1385129,99600,44.07980311,0.826315645,1
643,643,9007,5429,288,94400,693.6229057,1455298.02,1359.955371,1382533.119,1024.8275,353919.0815,785.9661915,99600,54.59303147,1.199488048,2
20,20,8458,4880,288,94400,645.5117762,1083003.876,1244.101357,1028853.682,947.6040488,284643.3742,773.7470403,99600,41.43099621,0.795509532,3
202,202,8614.857143,5036.857143,288,94400,649.0107857,1121790.547,1262.692943,1065701.019,964.6026298,297780.7374,776.275826,99600,43.84029841,0.866396066,5
86,86,8510.285714,4932.285714,288,94400,649.0744235,1108511.255,1244.336663,1053085.692,944.4558925,286790.5284,770.4135461,99600,41.96590196,0.8017081,3
805,805,9137.714286,5559.714286,288,94400,708.7201168,1586533.891,1417.887856,1507207.196,1068.71857,380298.3291,806.4055777,99600,58.07352421,1.375145982,2
1348,1348,9608.285714,6030.285714,288,94400,746.8290405,1994433.715,1511.976867,1894712.029,1148.660602,488355.9115,821.4385307,99600,70.79537221,1.84856745,5
418,418,8797.857143,5219.857143,288,94400,670.790117,1273804.226,1307.490784,1210114.014,993.5613745,326716.5354,777.6071672,99600,48.89582436,1.013739103,5
500,500,8876.285714,5298.285714,288,94400,683.1794385,1365005.404,1303.521593,1296755.134,977.4140717,328715.8777,764.8213227,99600,50.92434861,1.0294962,3
1027,1027,9346.857143,5768.857143,288,94400,724.1380881,1743905.399,1427.111245,1656710.129,1073.231958,413346.8919,793.4973184,99600,63.80115825,1.502806431,2
240,240,8667.142857,5089.142857,288,94400,654.7582409,1160604.673,1265.46976,1102574.439,962.4023892,301717.8781,772.213676,99600,45.31653016,0.892351744,0
